UTC time,state,latitude,N/S Indication,longitude,E/W indication,Ground speed,position,date,f2,f3
170409.100,A,54.6590630,N,020.6531253,E,0.000,26.58,190425,1.133,1.136,
170409.200,A,54.6590632,N,020.6531257,E,0.000,26.58,190425,1.131,1.135,
170409.300,A,54.6590635,N,020.6531260,E,0.000,26.58,190425,1.134,1.138,
170409.400,A,54.6590638,N,020.6531262,E,0.000,26.58,190425,1.136,1.139,
170409.500,A,54.6590640,N,020.6531263,E,0.000,26.58,190425,1.136,1.139,
170409.600,A,54.6590642,N,020.6531265,E,0.000,26.58,190425,1.134,1.138,
170409.700,A,54.6590647,N,020.6531268,E,0.000,26.58,190425,1.132,1.136,
170409.800,A,54.6590650,N,020.6531272,E,0.000,26.58,190425,1.133,1.138,
170409.900,A,54.6590652,N,020.6531272,E,0.000,26.58,190425,1.133,1.137,
170410.000,A,54.6590653,N,020.6531273,E,0.000,26.58,190425,1.133,1.136,
170410.100,A,54.6590657,N,020.6531273,E,0.000,26.58,190425,1.133,1.137,
170410.200,A,54.6590658,N,020.6531275,E,0.000,26.58,190425,1.133,1.138,
170410.300,A,54.6590660,N,020.6531277,E,0.000,26.58,190425,1.134,1.137,
170410.400,A,54.6590662,N,020.6531277,E,0.000,26.58,190425,1.132,1.137,
170410.500,A,54.6590662,N,020.6531277,E,0.000,26.58,190425,1.134,1.138,
170410.600,A,54.6590663,N,020.6531277,E,0.000,26.58,190425,1.134,1.137,
170410.700,A,54.6590665,N,020.6531277,E,0.000,26.58,190425,1.131,1.136,
170410.800,A,54.6590667,N,020.6531278,E,0.000,26.58,190425,1.131,1.136,
170410.900,A,54.6590668,N,020.6531278,E,0.000,26.58,190425,1.132,1.136,
170411.000,A,54.6590670,N,020.6531280,E,0.000,26.58,190425,1.133,1.137,
170411.100,A,54.6590673,N,020.6531280,E,0.000,26.58,190425,1.133,1.137,
170411.200,A,54.6590675,N,020.6531280,E,0.000,26.58,190425,1.133,1.137,
170411.300,A,54.6590678,N,020.6531283,E,0.000,26.58,190425,1.134,1.138,
170411.400,A,54.6590682,N,020.6531287,E,0.000,26.58,190425,1.135,1.138,
170411.500,A,54.6590685,N,020.6531288,E,0.000,26.58,190425,1.135,1.139,
170411.600,A,54.6590690,N,020.6531292,E,0.000,26.58,190425,1.135,1.139,
170411.700,A,54.6590693,N,020.6531295,E,0.000,26.58,190425,1.136,1.140,
170411.800,A,54.6590695,N,020.6531298,E,0.000,26.58,190425,1.136,1.140,
170411.900,A,54.6590697,N,020.6531298,E,0.000,26.58,190425,1.134,1.138,
170412.000,A,54.6590702,N,020.6531303,E,0.000,26.58,190425,1.132,1.137,
170412.100,A,54.6590703,N,020.6531305,E,0.000,26.58,190425,1.134,1.137,
170412.200,A,54.6590703,N,020.6531307,E,0.000,26.58,190425,1.136,1.140,
170412.300,A,54.6590705,N,020.6531308,E,0.000,26.58,190425,1.138,1.141,
170412.400,A,54.6590707,N,020.6531310,E,0.000,26.58,190425,1.136,1.139,
170412.500,A,54.6590707,N,020.6531310,E,0.000,26.58,190425,1.133,1.137,
